,Component 1,Component 2,Component 3,Component 4,Component 5
37,0.006095564150236316,0.3591650645012044,0.7193538985933431,0.93859255709341,0.16561832717735936
38,0.060079140130142844,0.5336394326386588,0.3713869015035064,0.7570754655869703,0.21952598528821143
39,0.7566609464195474,0.03554216788528342,0.5384895479198093,0.8873282164271384,0.3659211496670028
40,0.781844226462601,0.27787165414002046,0.13439892014308713,0.7008289662419187,0.9421324029171656
41,0.3382576972790476,0.8677096775145395,0.9099376560095054,0.21538880152655043,0.06594787741425791
42,0.9909991484544862,0.41978341904978134,0.15666394845863235,0.885486930537688,0.2973051398452958
43,0.9776628827747793,0.20670871850177716,0.904065101903373,0.24147787400378948,0.08933532514622299
44,0.6581859681527845,0.2177120099698531,0.7068103517417601,0.5330537983913874,0.8966571298715021
45,0.8214545836451245,0.7235981499059587,0.9345457483256776,0.8649885881588606,0.7450554024885757
46,0.28459705100923477,0.2259312792477763,0.41746128664085996,0.4141097749130121,0.4469162157161176
47,0.1006893548647932,0.06363558031952661,0.8945706562371163,0.8671526609617951,0.7119921341667238
48,0.6222765003435969,0.31612326363875837,0.2637159845089999,0.5493353758174314,0.07818901117956617
49,0.2089418243526098,0.017154666096985172,0.8020301931158605,0.06988037997934522,0.49509849965236036
50,0.39921980513245425,0.6153787558674434,0.4449801130006197,0.11340968872202904,0.07347782379304488
51,0.025720293054556483,0.2232668887812301,0.5494810413819418,0.5120229728511863,0.34478215431940595
52,0.6182582116483802,0.6338586358804351,0.556897590564375,0.4507623748959643,0.4848716064619394
53,0.6693755480687023,0.8558931220561867,0.9776655234751559,0.4067462995230534,0.3539985028979082
54,0.9846556630625762,0.7121422635450013,0.5180465716629505,0.7721839916811188,0.3566101812351248
55,0.625235565489506,0.31100603284293743,0.4145065359290199,0.3203112434353051,0.8063376258066307
56,0.5357211009681251,0.3252221874834922,0.4878109621186934,0.20130997574621093,0.6422417408208171
57,0.15424370090597875,0.041307689477219064,0.8276392951222935,0.22526676760785236,0.5553041148968793
58,0.693403747322074,0.977116410157412,0.8531988428543332,0.1983582038387125,0.36931319002148366
59,0.7878139431842436,0.4978716039912963,0.42725410658511825,0.379681958932201,0.8261674248621464
60,0.1970127050305886,0.49798815221344717,0.014715659585933558,0.8978030999378114,0.5821783070780148
61,0.31339348278892765,0.9307529763469806,0.2568498443183989,0.9210644233073142,0.8835028226039534
62,0.09705000042592145,0.5060930187255226,0.7718221388612032,0.5160474210237062,0.5073633852356442
