,Category,Group,Component 1,Confidence Interval 1,Variance of Comp. 1,Variance of Sample Variance of Comp.1,Component 2,Confidence Interval 2,Variance of Comp. 2,Variance of Sample Variance of Comp.2,Component 3,Confidence Interval 3,Variance of Comp. 3,Variance of Sample Variance of Comp.3,Component 4,Confidence Interval 4,Variance of Comp. 4,Variance of Sample Variance of Comp.4,Component 5,Confidence Interval 5,Variance of Comp. 5,Variance of Sample Variance of Comp.5
Religion: Orthodox,Religion,Orthodox,0.5641025577409979,0.00497167759089632,0.053281514724385144,0.013320746218480506,0.5956077706453948,0.006278873263853487,0.08498339612908266,0.027102536656167273,0.6331982131990708,0.0065947064994432035,0.0937479094609364,0.034224056295457606,0.520750526843855,0.005946501459480006,0.07622434618431671,0.02332841497668913,0.45632823679642964,0.006747634965010811,0.09814627206875494,0.030699485135545334
Religion: Protestant,Religion,Protestant,0.6021968642834236,0.006528064554061158,0.09186276834140288,0.030496224017220356,0.3924767410570665,0.0058125887549010675,0.07282992169596296,0.02232439205539546,0.4475102200290917,0.005798777762115889,0.07248423801281431,0.01922477946967375,0.45800798996473197,0.006052974970129392,0.07897841329667085,0.022755604964214277,0.44362108214862744,0.00606781708866895,0.07936620413520443,0.023459150431469712
Religion: Something else,Religion,Something else,0.5285013973488285,0.005538087970883769,0.06611353036585452,0.017342535864306334,0.6135701544844384,0.0061053579909403745,0.08035130164885142,0.02520806299973567,0.5379694152596477,0.006198080892050128,0.0828104468686354,0.02453479842346028,0.4470410918073899,0.0063649400077402975,0.08732915892762501,0.027090795916370123,0.4867466370960075,0.006538924685605922,0.09216866960255124,0.028526217994604308
Religiosity: Charismatic/Pentecostal,Religiosity,Charismatic/Pentecostal,0.6052707232661078,0.0053579881876189605,0.06188339788929932,0.01656940772830403,0.5274518021235088,0.006624628641937426,0.09460056368552507,0.02890529243657735,0.6042550769160326,0.006027177452436283,0.078306642714809,0.024735624698999654,0.39120591219479695,0.006441732181837911,0.089449100563986,0.028940246468161315,0.39318168440150847,0.00649567890158664,0.09095356895848876,0.030560218776475422
Religiosity: Mainline,Religiosity,Mainline,0.5357982933150744,0.005705836880267359,0.07017935167687085,0.019790839184147715,0.37493556190989386,0.00601511689299349,0.07799356847113623,0.023333300779286047,0.5289469539408417,0.006271884736066758,0.08479432452870299,0.027109925865788666,0.488265925475873,0.00634855692007424,0.08688017434752911,0.024883878908297637,0.4303042355693541,0.006366817743442995,0.08738069288320814,0.029004360348345422
Religiosity: Non-traditional believer,Religiosity,Non-traditional believer,0.48505813578531093,0.00614423800258202,0.08137794311136289,0.023017751650029554,0.5042757837775307,0.005782889917086214,0.07208758866678604,0.019673885648393917,0.46146039189398963,0.006378701250609973,0.08770718507938421,0.027110669686075634,0.5406603471141359,0.005797930196277594,0.07246305055686912,0.02007188580064274,0.5669220835872392,0.006173571030575463,0.08215680600135464,0.02636144825003279
Religiosity: None,Religiosity,None,0.5705891885581788,0.005192813556018041,0.05812675893532309,0.012970556269392133,0.4124261899114343,0.005146440688189918,0.05709322719683136,0.015113142473537712,0.49862732036697743,0.006166803886236205,0.08197679276395366,0.023171012480257408,0.4673068130934025,0.006058131768024454,0.0791130410476789,0.021070532579241623,0.5277634577644388,0.005491482750230295,0.06500546896523006,0.015464033411410897
Religiosity: None of the above,Religiosity,None of the above,0.48335302866696433,0.005746030958102808,0.0711715741169352,0.019251359556645555,0.5576636357309573,0.006003112078526432,0.07768256404153168,0.023669922933224268,0.5582160303799553,0.006563426497479399,0.09286068870831095,0.0285064266142282,0.5834326129619444,0.006089380153441929,0.0799312902013375,0.023656842742121424,0.5214234275044891,0.006220737181694106,0.08341695929258627,0.024220978879827056
Religiosity: Progressive,Religiosity,Progressive,0.3029992134243054,0.005476088670816713,0.06464152473214571,0.021918510646508363,0.47091125234465914,0.006044718580844602,0.07876310369925181,0.022497017147003535,0.4858058879298969,0.005974684467531956,0.07694857775796582,0.02294446287738142,0.5584946345424928,0.005595033390071199,0.06748014600322606,0.018017974460917546,0.47648888901989195,0.005628892897094142,0.06829935758723832,0.017868331082330585
Religiosity: Secular,Religiosity,Secular,0.23352063699782488,0.0058427462628150295,0.07358761048262942,0.037119022001474836,0.38361812897055314,0.005730834022912905,0.07079560693941479,0.02191583104165768,0.5524035466933259,0.00573117151636315,0.07080394560603587,0.01922645220329077,0.6343982730692075,0.0054989128913667615,0.06518149667492636,0.019629742498537765,0.43137377697593104,0.004975518275912855,0.05336386783521201,0.011982175477289792
Religiosity: Spiritual but not religious,Religiosity,Spiritual but not religious,0.4110408055900188,0.005970853199337528,0.07684992280255612,0.023056763442845536,0.5095986519280926,0.006185602333215785,0.08247733898327425,0.02353175875444994,0.44110622821718815,0.005963689856182981,0.0766656368634701,0.021248029910476765,0.528963635835486,0.006058418767990957,0.07912053708072261,0.023176830549625386,0.5167398892753043,0.005934104578230037,0.07590686230065029,0.020652324830899668
Religiosity: Traditional,Religiosity,Traditional,0.6215290891977344,0.005596519660706836,0.06751600176084914,0.01821872517870898,0.48355000375589546,0.006313371486751386,0.08591981580073021,0.025958968769429352,0.4908279764029279,0.00601018177799764,0.0778656410053119,0.022329612646263507,0.4122968194222498,0.005981518300677668,0.07712470571228035,0.023232310187787958,0.4945997710055544,0.006477987686622431,0.09045881299160219,0.027895087144447422
Marital Status: Divorced,Marital Status,Divorced,0.49735731751868467,0.005790165875487095,0.07226910215483559,0.01935772649452063,0.5187315201440227,0.006219364367271445,0.08338014585213145,0.02466107235252027,0.4872141968205728,0.006169705185195781,0.08205394622499995,0.023976088149843616,0.42324669195686493,0.006151391376164777,0.08156754048574108,0.025897177370869853,0.5161850729182808,0.0062340508614746725,0.08377440089341634,0.02447043420761422
Marital Status: Married,Marital Status,Married,0.5407075841623898,0.006464571454410045,0.09008451165926616,0.02793444389269964,0.43135217212866855,0.005976565173196018,0.07699702898710027,0.02260191031927199,0.4724394646986871,0.006096751236521514,0.08012491804580864,0.022548061169369197,0.4804769834660514,0.0060103307641654466,0.0778695014699943,0.02204729239609196,0.4952378216980924,0.006169314760360015,0.08204356164943725,0.02371177937429189
Marital Status: Never married,Marital Status,Never married,0.42476137935864217,0.005741565701536212,0.07106100184204701,0.020534210981461017,0.6035421163719399,0.005876013099455455,0.07442796742107695,0.023309646448537176,0.5416294826996912,0.006279924092903617,0.08501184406568926,0.024916724722553758,0.588007448778219,0.006104579081868603,0.08033080084756965,0.024711680592423207,0.5128891197900576,0.006222405941032426,0.08346171974358368,0.025161681676456497
Marital Status: None,Marital Status,None,0.49148882236306424,0.005776265175974609,0.07192251961739735,0.021084949799098817,0.5031515704363405,0.005836825957274001,0.07343855714491689,0.018773013701997132,0.5051218500115687,0.005265307064051629,0.05976102743939853,0.01658162847536129,0.5238696994646455,0.005805509188732418,0.07265262022983551,0.017621319454604264,0.37764012561095467,0.004804224097931268,0.04975275827609757,0.012812345937132812
Marital Status: Separated,Marital Status,Separated,0.5238359710979731,0.004912912238067158,0.05202938118444884,0.01162259331289388,0.7073455279958778,0.005221658572579366,0.058774316979890114,0.019491577674804972,0.6113707956843286,0.007027750490080528,0.10646413171475644,0.038905160230213225,0.4834080853257292,0.006983383407466485,0.10512413169724977,0.03345025153886323,0.46244603111313054,0.007057317368964058,0.1073618396708586,0.03578561081402859
Marital Status: Widowed,Marital Status,Widowed,0.5135591683244957,0.005880192636211285,0.07453388449510709,0.019828890526890724,0.4626014279486004,0.00606700931578272,0.07934507442758097,0.023195161412848834,0.5224027860038479,0.00592142979371509,0.07558294632593712,0.021708988497015747,0.35285575301897165,0.005653859110685341,0.06890656682839547,0.023034411951155184,0.46123114369590285,0.006149058738331423,0.0815056905906242,0.02270862071550618
Education: Bachelorâ€™s degree,Education,Bachelorâ€™s degree,0.44234045376202213,0.006702177705791781,0.0968283487848241,0.0312543088548424,0.3902983541524423,0.0057269898466878666,0.07070066106934852,0.020185681409019694,0.458960564583421,0.005806742934573237,0.07268350275517604,0.019522202546256397,0.5506376456303195,0.0059430499703165525,0.07613588706072817,0.021451811806667616,0.4759335034799847,0.005854639054107759,0.07388748754082196,0.020619224858846773
Education: Graduate degree,Education,Graduate degree,0.38349523524747015,0.0067003806565705155,0.09677643074013184,0.033857966187695675,0.3226140824224879,0.0053216451924568055,0.06104674038907404,0.018903974526520564,0.504638767300863,0.005919648059972783,0.07553746797699869,0.021032742590658186,0.5412447104333958,0.00566427189363546,0.06916061272268495,0.018890584433439054,0.44581001116199626,0.005700097578104488,0.07003824076119272,0.01888962262480098
Education: High school credential,Education,High school credential,0.557797157736399,0.005331891811042212,0.06128205291054209,0.015222106689800724,0.6027928919464268,0.00582156620174202,0.07305506463668303,0.021863399809600344,0.5300167648418072,0.006427820234971312,0.08906315860080682,0.026994030154294843,0.4494926954409722,0.006476945228374643,0.09042970149810758,0.027356147117691187,0.5149439966610357,0.006448023402912404,0.08962390412565042,0.02735969362817539
Education: Less than high school credential,Education,Less than high school credential,0.5405843590097067,0.004737015967969728,0.04837047427001677,0.011276076124554564,0.6647166296006694,0.0053963298361063465,0.06277223935066253,0.019291490773597833,0.6272796051565279,0.006643459004891712,0.09513912812106869,0.03498321051840221,0.46749429537005094,0.006611109624945078,0.09421485099086038,0.029744331704176844,0.5064929253157654,0.006638623864118,0.09500069310458106,0.029801621011629222
Education: None,Education,None,0.5253210071922318,0.006611983575794512,0.09423976196529778,0.029987882538731508,0.4755122233868985,0.006085934588423642,0.07984086045873218,0.021312943279620935,0.4922575448875419,0.005907176946870194,0.07521952880629587,0.021626664377892596,0.5394770036687454,0.006017978338199806,0.07806779060500742,0.02337751451956011,0.49701059755948956,0.006539891225898085,0.09219591913396058,0.028799277071571674
"Education: Some post-high school, no bachelorâ€™s degree",Education,"Some post-high school, no bachelorâ€™s degree",0.5275623478989395,0.006250334092585524,0.08421260696111882,0.024057560515503923,0.5200308825830974,0.0059965501299760245,0.07751282861737446,0.02183044353028807,0.46641830103627346,0.006052515165855245,0.07896641482223851,0.02265708220103896,0.4976009475816611,0.006094997035163849,0.08007881643733496,0.023278237937276555,0.5263757254933373,0.006245696921098104,0.0840876973375607,0.025184080606546165
Orientation: Bisexual,Orientation,Bisexual,0.30758641511636836,0.005417137809578046,0.06325726579646851,0.01682582894656467,0.5941245698186247,0.005695718677780357,0.06993067324366796,0.02168090577040329,0.4829210299075639,0.005958033214303507,0.0765202690151594,0.021855690250602227,0.6637719992810888,0.005325514982533853,0.06113555651843295,0.016168466315981858,0.5172768738583688,0.005384221416746881,0.06249085556341051,0.015828878535751295
Orientation: Heterosexual or straight,Orientation,Heterosexual or straight,0.5134029613696858,0.006196772228217282,0.08277548133722437,0.024130180702085408,0.49340717209816853,0.006217874591159921,0.08334020515572728,0.024536597765935565,0.4958889762610933,0.006204629698663835,0.08298553206355394,0.024326846653424473,0.49406212499426233,0.006208136657088109,0.08307936814127768,0.024315589989839966,0.5013938196022911,0.00623932255594919,0.08391614493271887,0.024718734790897392
Orientation: Homosexual or gay (or lesbian),Orientation,Homosexual or gay (or lesbian),0.2791986854600667,0.004586091559887812,0.045337345680031796,0.010392212207132961,0.5544968974776951,0.006416310799221113,0.08874449723834019,0.02672798869521749,0.5469552712866081,0.00595712378545886,0.07649691082755555,0.021086786182931284,0.5911481711520494,0.005634692989478707,0.06844018338960223,0.01876173947433104,0.5089198813589316,0.006018551208095578,0.07808265433937095,0.023057430202243854
Orientation: None,Orientation,None,0.5098711965333168,0.005383308945823188,0.062469676546959826,0.01695157190883689,0.4880174188202306,0.005775499683353723,0.07190345798908221,0.021296849240607887,0.5678557693290843,0.006451483646894177,0.08972012083160286,0.027588704016888708,0.4474074474882983,0.005801944312531174,0.07256342285899764,0.020339982213520222,0.38909055051394925,0.005566811159351948,0.06680110194090651,0.01750528889697821
Orientation: Something else,Orientation,Something else,0.4040728866488743,0.0054839360512412985,0.0648269235193424,0.01605939446607243,0.6618037983163472,0.005299428063329774,0.06053808108621389,0.01570490149953089,0.6658914372440103,0.006534970518817837,0.09205723228953305,0.03313619997306283,0.42952010995696127,0.007003817869906108,0.10574025082249049,0.03484690802525965,0.464536238181324,0.0068990709411327405,0.10260106520550638,0.0314171813878889
"Income: $10,000-14,999",Income,"$10,000-14,999",0.47533941127263213,0.004652850595488203,0.04666689040269074,0.01000431643721385,0.718610570513949,0.005349089911126647,0.061678022918348126,0.01987901097892837,0.6374154852432056,0.0059209074113646225,0.07556961121703636,0.024823675332980556,0.49133119020082483,0.007010658442557568,0.10594690299811317,0.0341954436514287,0.48453747962600835,0.006457832365764711,0.08989678967948103,0.026199681536474097
"Income: $100,000-109,999",Income,"$100,000-109,999",0.5179777815278761,0.006737510453310159,0.09785196521975806,0.029749900915685204,0.4434514767427066,0.006075722277369963,0.07957313638263035,0.0225175472234051,0.47991123982829453,0.0061261858821335235,0.08090045953658385,0.022446023601950856,0.5443107699657133,0.00628327638994428,0.08510262892653113,0.025069260775923728,0.4846358488825513,0.00609452802591943,0.08006649280208318,0.023510490993824205
"Income: $110,000-124,999",Income,"$110,000-124,999",0.5064758092812648,0.0067303563092496535,0.09764426969412408,0.029214641110254905,0.4083385860798929,0.005418838792451978,0.06329699763372126,0.016745127413414468,0.44182142088145815,0.005733368128886958,0.070858230716274,0.018752445541639254,0.503963308096801,0.006152208331034391,0.08158920759169981,0.024061364967782568,0.5593593996563371,0.005913735380613565,0.0753866462485081,0.020987087620639788
"Income: $125,000-149,999",Income,"$125,000-149,999",0.48763173041618657,0.006996964317517642,0.10553340884345341,0.03477148209873981,0.3927006923964189,0.006222672059543013,0.08346885884177532,0.027187422240408016,0.4449284095944458,0.005780583984440339,0.07203011014499353,0.018896506045749977,0.5370729723183545,0.005587375779245925,0.06729555976534508,0.01855091433939297,0.5047044998630612,0.005876901241800668,0.07445046826442986,0.02088416932706451
"Income: $15,000-19,999",Income,"$15,000-19,999",0.47120962605661915,0.004757586600649246,0.048791486864642734,0.01226455222817366,0.7269853789207847,0.0054138452271012836,0.06318039255635484,0.018775700480575905,0.6005198429094722,0.005479725988834889,0.06472742541157527,0.016503519447171662,0.4389802449004755,0.00659753649297586,0.09382838700850198,0.03012066362514629,0.48426464527018015,0.006549885495049944,0.09247792226352143,0.026908928379369222
"Income: $150,000-174,999",Income,"$150,000-174,999",0.455857480448249,0.006762177090399801,0.09856976663323126,0.030214283744341337,0.38084538531075746,0.005563640889268647,0.06672503784393952,0.01808687532326097,0.4524740384613931,0.006156208630665742,0.08169534424039095,0.022090847842254853,0.5322356795366501,0.005834862989110622,0.073389169580489,0.020266274285242636,0.5100993611647628,0.005722272703051096,0.07058424115819893,0.017684356690999766
"Income: $175,000-249,999",Income,"$175,000-249,999",0.4134075693982986,0.006680554936968102,0.0962045755222355,0.032076361927454874,0.3455802170811462,0.005138531516188771,0.05691787759225388,0.015281395716629377,0.459680689435544,0.005867646926031815,0.07421617960048968,0.021274910515175383,0.5493913770997413,0.005944922318166813,0.07618386758274884,0.02016028848893977,0.493395936061131,0.005788884521695503,0.07223711963699819,0.019419643496566375
"Income: $20,000-24,999",Income,"$20,000-24,999",0.4963414416387323,0.005387005835050572,0.0625555058295438,0.01650423801435874,0.6426537907335376,0.005685714153741985,0.06968522268776844,0.021064757015768237,0.5729383629927491,0.0067333354665516975,0.0977307322847681,0.030279694640956697,0.46471107183999905,0.006140029623044882,0.08126650472421132,0.02402970958949322,0.4407565653996972,0.006495301555081208,0.09094300192922633,0.028887594863925784
"Income: $25,000-29,999",Income,"$25,000-29,999",0.49036799015863275,0.005252647896273103,0.0594740107763661,0.01602213729592105,0.6204218133876976,0.005692646064751834,0.06985524397723655,0.02080120531967362,0.5193146101795398,0.006526578078869479,0.09182093781774038,0.029081411467588986,0.4190652472146033,0.006066901716972253,0.07934226007227853,0.023806667216707933,0.4734739875328445,0.00641747460495115,0.0887766935344164,0.027494581550950904
"Income: $250,000 or more",Income,"$250,000 or more",0.46881132318014507,0.006537697845035837,0.09213408726345233,0.029111493318315182,0.36754188511499425,0.0057974108865625745,0.07245007037959834,0.02306421730721738,0.5106114366865494,0.006127929957453426,0.08094652949987723,0.023224940839638712,0.5112421053945191,0.005901129095794474,0.0750655860220092,0.020836479490159536,0.4914950531424824,0.006031136971517034,0.07840956269464341,0.022439680567790825
"Income: $30,000-34,999",Income,"$30,000-34,999",0.5291296522167543,0.00533907554496872,0.061447296521981186,0.01594523587218004,0.6477643409871834,0.005314256557375022,0.060877342036368624,0.016924711138539775,0.5822697330525595,0.0063568442194212385,0.08710714622805624,0.027126645940990828,0.46365402329141336,0.006329699963742724,0.08636482492860116,0.02567539539402747,0.5211101298812256,0.006746321078347401,0.09810805407864316,0.03274709462433965
"Income: $35,000-39,999",Income,"$35,000-39,999",0.5042800545509156,0.005716756561540373,0.0704482235235042,0.018258642198606973,0.5445695019232524,0.005836452018094331,0.07342914769041307,0.020357968552845076,0.49634882296816074,0.006089617967726493,0.07993753358680492,0.024114573858137662,0.4672987699705117,0.00639589316553625,0.08818060008796032,0.027916600745590953,0.5356472140425405,0.006447247948422156,0.08960234865803718,0.026615274194821483
"Income: $40,000-44,999",Income,"$40,000-44,999",0.48252708042812475,0.005400268258218371,0.06286389934885049,0.016787306027759297,0.6002910649800116,0.005800908946299381,0.07253752705230396,0.021796564348284874,0.5449472093056718,0.006085672763706195,0.07983399089391466,0.022507185023484238,0.45967477744654395,0.006127555745284763,0.0809366435345774,0.022267302805186878,0.5061632624430258,0.006224061733962113,0.0835061442680418,0.02498315683893901
"Income: $45,000-49,999",Income,"$45,000-49,999",0.5334034172131152,0.0059514993142780435,0.07635252854795883,0.021388137598652584,0.5322213943428835,0.0064700776256388865,0.09023803521192302,0.02671887525611947,0.4906016458361919,0.005933722006804036,0.07589707519289927,0.02138780174029259,0.46755119486703994,0.006667279534489256,0.09582260560791139,0.030107042857872936,0.4600619346429154,0.006350573096120998,0.08693536595823607,0.02766221819561065
"Income: $50,000-59,999",Income,"$50,000-59,999",0.520224695498547,0.006196079873511125,0.0827569856461213,0.02317104713933298,0.5681993814491316,0.006105076835796474,0.08034390137465199,0.02373360685830931,0.47430678799165754,0.006141857867662223,0.08131490747751387,0.02345958546175112,0.4656729570898238,0.006186523574868463,0.08250190804351094,0.025236946338837187,0.529292491205871,0.006361796971758813,0.08724293315990259,0.026425391795410143
"Income: $60,000-64,999",Income,"$60,000-64,999",0.500097616584638,0.0059845487523338065,0.07720287379153766,0.022389868134788143,0.5146699049521926,0.00587515912181851,0.07440633533823411,0.020523468299936815,0.46763380495258583,0.005839548255330328,0.07350707666720768,0.020133699426058176,0.5163879685212254,0.006535259809017155,0.09206538285255624,0.027996767191307396,0.5634435701865572,0.005894251000654329,0.07489070174443961,0.022388915945302137
"Income: $65,000-69,999",Income,"$65,000-69,999",0.5416981100493397,0.006639349817434532,0.09502147145879009,0.028604707293840036,0.5130352997626513,0.005792512330633459,0.07232768789160386,0.01875897463995774,0.43161034486567557,0.005943747214219578,0.07615375276851323,0.01978571058978944,0.5411750934457269,0.006427733529490485,0.08906075585411351,0.025558812839364647,0.5264844953724733,0.006028867979822776,0.07835057641023237,0.02344099004795643
"Income: $70,000-74,999",Income,"$70,000-74,999",0.5139968757451125,0.006197005439013759,0.08278171183867536,0.02477391032571315,0.5317621816202068,0.005780434737535224,0.07202639075184415,0.019152632612313484,0.46815709951600976,0.006034492427749316,0.07849683414796416,0.023388854478427167,0.503988093344187,0.006650169546672284,0.09533142479502152,0.029797560884321225,0.48751855108936815,0.0061700350856755985,0.08206272147734625,0.02438867564270767
"Income: $75,000-79,999",Income,"$75,000-79,999",0.5483542915655231,0.006177673722817002,0.08226603810968136,0.024909837244277786,0.4587775507182277,0.005344781964846527,0.06157871682351924,0.014626727746069601,0.4643469256665872,0.005827065539723703,0.07319315264816162,0.019689508667935927,0.44821183678096616,0.005755531738072091,0.07140712609722041,0.020559779499545894,0.5436736752406299,0.006354603350193597,0.08704574427694521,0.025383264483155702
"Income: $80,000-89,999",Income,"$80,000-89,999",0.4793183197143452,0.006141571389693935,0.08130732202480274,0.022974860513330055,0.5508367068165613,0.006373837641203187,0.08757348674565639,0.02627977132889617,0.475099620432696,0.006380264373084534,0.0877501762353714,0.025741749809597012,0.5112096853684104,0.005965791365643933,0.07671967788572746,0.021911898820170105,0.5050793997071872,0.0064101527755958485,0.08857423476765429,0.026069270514544787
"Income: $90,000-99,999",Income,"$90,000-99,999",0.4958052714106247,0.006704076386229714,0.09688321815442531,0.03061294185970313,0.4929010263806151,0.005654989090111568,0.06893411289283305,0.018705608664710802,0.47127973882859536,0.005946725918110966,0.07623010067219904,0.021349401488931236,0.4987248770584637,0.00591209626201673,0.07534486198825487,0.021261818497025447,0.48832629801480815,0.006597225277922856,0.09381953518396242,0.02872835211963186
Income: None,Income,None,0.5619802476925887,0.005880818424545019,0.07454974959347613,0.020415883387849942,0.4623015160259628,0.005892709664594793,0.07485153929733192,0.022161277364150994,0.48917774768379196,0.0060039874649352315,0.07770522136259755,0.022315049310335736,0.47987308937857004,0.006092251316731312,0.08000668371737149,0.023431611499147242,0.4430874857237858,0.005887736684515329,0.0747252550693598,0.021329832813732453
"Income: Under $9,999",Income,"Under $9,999",0.5374916617184028,0.004613911783082519,0.04588906633527949,0.010034708438233307,0.6955649962356106,0.005294903067916787,0.06043474254310502,0.019477534927412093,0.7035495724981297,0.0060544221620671594,0.0790161833476093,0.02975164557449614,0.5031383672028689,0.006770175264735935,0.09880307741661055,0.03141817278298062,0.4627456034947058,0.006598915703036489,0.09386762061695736,0.030630759320735362
2020 Pres Vote: Donald Trump,2020 Pres Vote,Donald Trump,0.790561843936582,0.0032472678204705794,0.02273038888178984,0.003406335992560596,0.42691701458911624,0.005909893881452742,0.07528873734326509,0.022089623263464087,0.4420800024032585,0.006012976258280076,0.07793806629709514,0.021602464746118932,0.4956100652054822,0.006231116282488585,0.08369554855849796,0.024738368659808236,0.5229926329440868,0.0066713947496352365,0.09594093043030805,0.03041885317766612
2020 Pres Vote: Howie Hawkins,2020 Pres Vote,Howie Hawkins,0.32237439149796493,0.005249898353359499,0.05941176272605742,0.019061493066767608,0.5474671378267761,0.004714706023936848,0.047915925938354954,0.0074189722409060055,0.4927228461279716,0.005072568716671305,0.05546595899939646,0.01396527386926385,0.6939382221589164,0.005521563891812434,0.06571959101115664,0.020080723395005124,0.5656082447885522,0.004823379429335853,0.050150296154565115,0.011501089776655636
2020 Pres Vote: Jo Jorgensen,2020 Pres Vote,Jo Jorgensen,0.5519934576369184,0.005427102818199666,0.06349020762101763,0.014990189730351487,0.4664043651990781,0.005786201861827528,0.07217018352210741,0.023669049007551353,0.280436095408012,0.00477908970319891,0.049233534240019514,0.011411694960871757,0.7246788796665052,0.005541933799492326,0.06620538502453671,0.0200585629101951,0.4793964930351065,0.0059428330894414965,0.07613033027874051,0.02023545210471285
2020 Pres Vote: Joe Biden,2020 Pres Vote,Joe Biden,0.25732662604643186,0.00380033997264807,0.031132611173522378,0.004914898217475599,0.47413353184499757,0.0061745608995655565,0.08218315412109185,0.023881756239385696,0.500527334594119,0.0057423108816822875,0.07107944861660484,0.018797017453366188,0.47812510526347174,0.006172692974526871,0.08213343762994194,0.023725926359698054,0.4567733458018388,0.005634240334955417,0.06842918775442285,0.018048117498016734
