,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
5896,Catholic,None of the above,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",Joe Biden,Male,White,,Moderate; middle of the road,73,0.125918270527163
5897,Something else,Charismatic/Pentecostal,Divorced,High school credential,Heterosexual or straight,"$10,000-14,999",,Male,Hispanic,,Slightly liberal,80,0.605777038955943
5898,Protestant,Progressive,Never married,Graduate degree,Bisexual,"$10,000-14,999",Joe Biden,Female,White,Joe Biden,Liberal,47,0.069818642861368
5899,Muslim,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Joe Biden,Male,White,Joe Biden,Moderate; middle of the road,21,1.65219974469294
5900,Catholic,Progressive,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",Joe Biden,Male,Black,Joe Biden,,68,1.50361777705408
5901,Something else,Traditional,Never married,Graduate degree,Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,Black,Joe Biden,Slightly liberal,37,0.363033916507278
5902,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,Donald Trump,Moderate; middle of the road,61,1.04276092269789
5903,Protestant,None of the above,Divorced,Less than high school credential,Heterosexual or straight,"$20,000-24,999",,Male,Hispanic,,,77,0.448588082758311
5904,Something else,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$80,000-89,999",Donald Trump,Female,White,,Moderate; middle of the road,53,1.09462214326166
5905,Nothing in particular,Spiritual but not religious,Widowed,Graduate degree,Heterosexual or straight,,Joe Biden,Male,AIAN,,Liberal,-9,0.803818403509808
5906,Catholic,Mainline,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,White,,Moderate; middle of the road,61,0.409562596397674
5907,Catholic,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$110,000-124,999",Joe Biden,Female,White,,Liberal,43,0.812426264138852
