,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
2604,Catholic,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,White,,Moderate; middle of the road,32,0.692219687024713
2605,Atheist,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$110,000-124,999",Joe Biden,Female,White,Pete Buttigieg,Extremely liberal,33,0.734072377905011
2606,Nothing in particular,,,Bachelor’s degree,Heterosexual or straight,,Joe Biden,,White,,Moderate; middle of the road,-9,0.348699142431907
2607,Something else,None of the above,Divorced,Bachelor’s degree,Heterosexual or straight,"$110,000-124,999",Joe Biden,Female,White,,Liberal,51,0.888289121181657
2608,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$110,000-124,999",Joe Biden,Male,White,,Conservative,54,0.909723602426286
2609,Catholic,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$75,000-79,999",Donald Trump,Male,White,,Conservative,32,0.304348212178122
2610,Catholic,Progressive,Divorced,Graduate degree,Heterosexual or straight,"$125,000-149,999",Joe Biden,Female,White,Joe Biden,Slightly conservative,58,0.725444032215517
2611,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Female,White,Donald Trump,Extremely conservative,50,1.34181529073758
2612,Atheist,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Male,White,Bernie Sanders,Liberal,59,0.753128380670173
2613,Something else,Traditional,Divorced,High school credential,Heterosexual or straight,"$50,000-59,999",,Female,Multiracial,,Slightly conservative,43,3.0499194361252
2614,Catholic,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"Under $9,999",Joe Biden,Male,Hispanic,Bernie Sanders,Moderate; middle of the road,34,0.413926865227944
2615,Nothing in particular,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$110,000-124,999",,Male,White,,,54,2.81586808395477
2616,Agnostic,None of the above,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,White,,Liberal,55,1.77924884875839
2617,Something else,Charismatic/Pentecostal,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",,Female,Black,Joe Biden,Conservative,56,0.516626412248512
2618,Mormon,Progressive,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Male,White,Donald Trump,Slightly conservative,38,0.647775835626383
2619,Catholic,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$70,000-74,999",Joe Biden,Female,White,Joe Biden,,80,0.264835730749801
2620,Protestant,Charismatic/Pentecostal,Married,Graduate degree,Heterosexual or straight,"$150,000-174,999",Donald Trump,Male,White,Donald Trump,Conservative,65,0.558886010237768
2621,Protestant,Progressive,Divorced,Graduate degree,Heterosexual or straight,"$35,000-39,999",Joe Biden,Female,White,Joe Biden,Liberal,65,0.360981855933214
2622,Something else,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Joe Biden,Female,White,Joe Biden,Liberal,62,0.752402119013417
2623,Protestant,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$65,000-69,999",Donald Trump,Male,White,Donald Trump,Conservative,44,0.679130997104026
2624,Something else,None of the above,Divorced,High school credential,Heterosexual or straight,"$30,000-34,999",Donald Trump,Female,White,,Conservative,33,1.67354033482424
2625,Orthodox,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$70,000-74,999",Donald Trump,Female,Black,,Moderate; middle of the road,45,0.421555197175769
2626,Protestant,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$125,000-149,999",Donald Trump,Female,White,Donald Trump,Slightly conservative,55,0.883312363942106
2627,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,Donald Trump,Conservative,36,0.773505506975083
2628,Nothing in particular,None of the above,Married,Graduate degree,Heterosexual or straight,"$125,000-149,999",,Female,White,,Moderate; middle of the road,31,1.26357850454727
2629,Nothing in particular,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$125,000-149,999",Joe Biden,Female,White,Elizabeth Warren,Liberal,46,0.395388156180838
2630,Catholic,Traditional,Married,Graduate degree,Heterosexual or straight,"$150,000-174,999",Donald Trump,Female,White,,Slightly conservative,43,0.607897957327965
2631,Agnostic,None of the above,Separated,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Male,White,,Extremely liberal,37,0.788112178854892
2632,Atheist,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,White,,Extremely liberal,38,0.673416164846463
2633,Catholic,Traditional,Divorced,Graduate degree,Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,Donald Trump,Slightly liberal,55,0.330935078858642
2634,Something else,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",Joe Biden,Female,White,3rd party,Moderate; middle of the road,76,0.645549773129015
2635,Catholic,Traditional,Married,High school credential,Heterosexual or straight,"$30,000-34,999",Joe Biden,Female,White,Joe Biden,,71,0.944777289385577
2636,Agnostic,None of the above,Separated,Less than high school credential,Heterosexual or straight,"$30,000-34,999",,Male,White,,Moderate; middle of the road,30,6.29493024605694
2637,Protestant,Traditional,Widowed,High school credential,Heterosexual or straight,"$10,000-14,999",,Female,White,,Liberal,77,0.667387942184731
2638,Protestant,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",Joe Biden,Female,White,Joe Biden,Conservative,71,0.194238218401923
2639,Protestant,Traditional,Never married,Bachelor’s degree,Heterosexual or straight,"$110,000-124,999",Donald Trump,Female,White,,Conservative,53,0.389875126925854
2640,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",Joe Biden,Male,White,,Slightly liberal,50,0.753755775979279
2641,Nothing in particular,Spiritual but not religious,Never married,Graduate degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,White,Joe Biden,Liberal,48,0.350553809298441
2642,Nothing in particular,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",Donald Trump,Female,Black,,Moderate; middle of the road,37,0.634047195527624
2643,Nothing in particular,Secular,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$60,000-64,999",,Male,Hispanic,,,53,0.558326548435251
2644,Catholic,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Donald Trump,Female,White,Donald Trump,Moderate; middle of the road,68,0.423167645650301
2645,Something else,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",,Female,Hispanic,,Slightly conservative,45,2.53607543797546
2646,Catholic,Progressive,Married,,Heterosexual or straight,"Under $9,999",Joe Biden,Female,AIAN,Another Democrat,Extremely liberal,80,0.332975974645258
2647,Protestant,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$15,000-19,999",Donald Trump,Female,White,,Slightly conservative,65,0.17047126170491
2648,Agnostic,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,White,Joe Biden,Liberal,30,1.01437845089087
2649,Nothing in particular,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$70,000-74,999",Joe Biden,Female,White,Bernie Sanders,Liberal,66,1.05739640538981
2650,Atheist,None of the above,Married,Less than high school credential,Heterosexual or straight,"$80,000-89,999",,Male,Multiracial,,Slightly liberal,38,4.30578045432478
2651,Orthodox,Traditional,Never married,High school credential,Heterosexual or straight,"Under $9,999",Joe Biden,Male,Hispanic,Joe Biden,Moderate; middle of the road,40,0.601892653923705
2652,Something else,None of the above,Married,Less than high school credential,Heterosexual or straight,"$35,000-39,999",Donald Trump,Male,Hispanic,,Extremely conservative,42,1.72754033072388
2653,Jewish,Non-traditional believer,Married,Bachelor’s degree,Heterosexual or straight,"$65,000-69,999",Joe Biden,Female,Asian/NHPI,,Moderate; middle of the road,24,1.49186586986128
2654,Catholic,Traditional,Widowed,Graduate degree,Heterosexual or straight,"$80,000-89,999",Donald Trump,Male,White,,Conservative,65,0.228215160870148
2655,Something else,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,Donald Trump,Female,White,,Conservative,68,0.214924807223308
2656,Catholic,Traditional,Married,High school credential,Heterosexual or straight,"$15,000-19,999",Joe Biden,Female,Hispanic,Another Democrat,,75,0.757989782710736
2657,Agnostic,Spiritual but not religious,Divorced,Graduate degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,Hispanic,Joe Biden,Liberal,54,0.392193336648608
2658,Agnostic,Secular,Married,Graduate degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Female,White,,Extremely liberal,39,0.536916421407818
2659,Protestant,Spiritual but not religious,Divorced,High school credential,Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,,Conservative,62,1.03799808929167
2660,Catholic,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",Donald Trump,Female,White,,,43,0.642508676502397
2661,Buddhist,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,Hispanic,Another Republican,Moderate; middle of the road,38,0.799020847299746
2662,Jewish,Progressive,Married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,White,Bernie Sanders,Liberal,60,1.05767551140071
2663,Jewish,Spiritual but not religious,Divorced,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Male,White,,Liberal,58,1.53531812998477
2664,Catholic,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",Donald Trump,Female,White,,Slightly conservative,80,0.274460693800479
2665,Something else,Charismatic/Pentecostal,Married,High school credential,Heterosexual or straight,"$60,000-64,999",,Female,White,Donald Trump,Conservative,68,0.0
2666,Something else,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",Donald Trump,Male,White,Donald Trump,Conservative,-9,0.19856370045464
2667,Catholic,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,White,Joe Biden,Moderate; middle of the road,80,0.707060006250122
2668,Nothing in particular,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",,Female,White,,Moderate; middle of the road,35,0.0
2669,Agnostic,Spiritual but not religious,Never married,Bachelor’s degree,Homosexual or gay (or lesbian),"Under $9,999",Joe Biden,Male,Hispanic,,Liberal,40,1.23102683462482
2670,Catholic,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,Black,Michael Bloomberg,Moderate; middle of the road,64,0.967712916056452
2671,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",,Male,White,,Slightly conservative,31,0.0
2672,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$110,000-124,999",Donald Trump,Female,White,Donald Trump,Conservative,62,0.86648682855894
2673,Protestant,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Donald Trump,Female,White,Donald Trump,Conservative,63,0.775940682436597
2674,Nothing in particular,None of the above,Married,Graduate degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,White,,Liberal,55,0.585627205632331
2675,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,Donald Trump,Slightly conservative,45,0.741571421312752
2676,Nothing in particular,Traditional,Married,High school credential,Heterosexual or straight,"$150,000-174,999",Donald Trump,Female,AIAN,Donald Trump,Conservative,64,1.37344132558514
2677,Catholic,Progressive,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",,Male,White,Joe Biden,Liberal,36,0.77595479307973
2678,Protestant,Traditional,Divorced,High school credential,Heterosexual or straight,"Under $9,999",Donald Trump,Female,Multiracial,Bernie Sanders,Moderate; middle of the road,59,0.604149536294282
2679,Nothing in particular,None of the above,Married,High school credential,Homosexual or gay (or lesbian),"$35,000-39,999",Joe Biden,Female,White,,,25,3.01390935797586
2680,Atheist,Non-traditional believer,Never married,Bachelor’s degree,Heterosexual or straight,"Under $9,999",,Male,White,,,43,0.868565479324645
2681,Protestant,Traditional,,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",Donald Trump,,White,Donald Trump,Extremely conservative,-9,1.6801395771226
2682,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$125,000-149,999",Joe Biden,Female,White,Pete Buttigieg,Moderate; middle of the road,51,0.839698752224845
2683,Catholic,Progressive,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",,Female,White,,Conservative,52,1.26528834359103
2684,Catholic,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$10,000-14,999",Donald Trump,Male,White,,Slightly conservative,37,0.424853425805356
2685,Protestant,Progressive,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Joe Biden,Male,White,Elizabeth Warren,Slightly liberal,49,1.48225970261177
2686,Nothing in particular,Traditional,Never married,Graduate degree,Heterosexual or straight,"$20,000-24,999",,Male,White,,Slightly conservative,45,0.471021305388423
2687,Something else,Non-traditional believer,Married,Bachelor’s degree,Heterosexual or straight,"$35,000-39,999",Jo Jorgensen,Male,White,,Slightly conservative,26,1.6689353171508
2688,Nothing in particular,None of the above,Never married,Graduate degree,Heterosexual or straight,"$110,000-124,999",,Male,White,,Slightly conservative,39,1.37596212710802
2689,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$70,000-74,999",Donald Trump,Male,White,,Conservative,68,0.463887853545562
2690,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Female,White,,Moderate; middle of the road,72,0.496191883974114
2691,Protestant,None of the above,Divorced,High school credential,Bisexual,"Under $9,999",,Female,White,,Slightly liberal,47,0.0
2692,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Female,Black,Joe Biden,Moderate; middle of the road,59,0.301875467159586
2693,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$80,000-89,999",Donald Trump,Female,White,Donald Trump,Extremely conservative,63,0.543488762157222
2694,Catholic,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Joe Biden,Male,Multiracial,Joe Biden,Liberal,68,0.779967965889661
2695,Protestant,Traditional,Widowed,High school credential,Heterosexual or straight,"$35,000-39,999",,Female,White,,Slightly conservative,79,0.0
2696,Nothing in particular,Progressive,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",Joe Biden,Female,White,,Liberal,40,0.581979310804728
2697,Protestant,Mainline,Married,Graduate degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Female,White,,Conservative,47,1.28766056773725
2698,Nothing in particular,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$70,000-74,999",Joe Biden,Male,Hispanic,,Moderate; middle of the road,56,0.523962161918013
2699,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,"$110,000-124,999",Jo Jorgensen,Male,White,,Extremely conservative,40,0.789312717127327
2700,Protestant,Charismatic/Pentecostal,Never married,Bachelor’s degree,Bisexual,"$150,000-174,999",Joe Biden,Male,Hispanic,Bernie Sanders,Extremely liberal,25,2.06850603674804
2701,Nothing in particular,Spiritual but not religious,Divorced,High school credential,Heterosexual or straight,"$35,000-39,999",Joe Biden,Female,White,,Slightly liberal,54,2.04578328026577
2702,Orthodox,Mainline,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",Joe Biden,Female,Black,Donald Trump,Liberal,45,0.472810903118871
2703,Something else,Spiritual but not religious,Never married,High school credential,Heterosexual or straight,"$10,000-14,999",,Female,White,,Moderate; middle of the road,33,0.852901386368917
2704,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",Donald Trump,Female,White,,Conservative,61,0.732832344380234
2705,Something else,Traditional,Married,Graduate degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Female,Black,,Liberal,51,2.96772980695905
2706,Something else,Spiritual but not religious,Divorced,High school credential,Heterosexual or straight,"$10,000-14,999",Joe Biden,Female,Black,Joe Biden,,63,1.31897634300947
2707,,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,AIAN,Donald Trump,Slightly conservative,50,0.659540710288802
2708,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",,Male,Hispanic,,,22,0.719957855401547
2709,Agnostic,Spiritual but not religious,Never married,Bachelor’s degree,Bisexual,"$150,000-174,999",Joe Biden,Female,White,Bernie Sanders,Liberal,29,0.406927584826283
2710,Something else,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$15,000-19,999",Joe Biden,Female,White,Joe Biden,Moderate; middle of the road,76,0.983379722444718
2711,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,"$75,000-79,999",Donald Trump,Male,Multiracial,Donald Trump,Conservative,64,0.428813052083306
2712,Nothing in particular,Traditional,Married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Male,Asian/NHPI,Michael Bloomberg,Moderate; middle of the road,63,0.382565789267087
2713,Nothing in particular,None of the above,Married,Graduate degree,Bisexual,"$25,000-29,999",,Female,Asian/NHPI,,Moderate; middle of the road,39,0.407180967674548
2714,Something else,Traditional,Never married,"Some post-high school, no bachelor’s degree",Something else,"$10,000-14,999",Joe Biden,Female,Black,,Extremely liberal,42,0.332463581868032
2715,Catholic,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,Hispanic,Bernie Sanders,Moderate; middle of the road,24,1.4605941914244
2716,Catholic,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Joe Biden,Female,Black,Joe Biden,Moderate; middle of the road,63,0.296423905094713
2717,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$150,000-174,999",Donald Trump,Female,White,Donald Trump,,75,0.527157388818234
2718,Something else,None of the above,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",Donald Trump,Female,White,Donald Trump,Conservative,66,0.424898031932487
2719,Something else,Charismatic/Pentecostal,Divorced,Bachelor’s degree,Heterosexual or straight,"$30,000-34,999",Donald Trump,Male,White,Donald Trump,Conservative,50,0.729275566377794
2720,Nothing in particular,Traditional,Separated,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",Joe Biden,Male,White,Joe Biden,Slightly liberal,63,0.672316491907884
2721,Nothing in particular,Traditional,Married,High school credential,Heterosexual or straight,"$75,000-79,999",Donald Trump,Male,White,,Conservative,38,0.618133357898693
2722,Protestant,Progressive,Never married,Graduate degree,Heterosexual or straight,"Under $9,999",Joe Biden,Female,White,Elizabeth Warren,Liberal,57,0.190902568286436
2723,Something else,None of the above,Married,High school credential,Heterosexual or straight,"$70,000-74,999",Joe Biden,Male,Black,,Moderate; middle of the road,28,2.3080682358762
2724,Something else,None of the above,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",Donald Trump,Male,White,Donald Trump,Moderate; middle of the road,35,1.54404814895109
2725,Something else,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$65,000-69,999",,Male,AIAN,,Slightly liberal,58,0.570294242662248
2726,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Bisexual,"Under $9,999",Donald Trump,Male,White,,,59,0.527931034199293
2727,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$80,000-89,999",,Male,White,Joe Biden,Moderate; middle of the road,57,1.10614203076786
2728,Protestant,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Joe Biden,Female,Black,Joe Biden,Liberal,68,0.457044189319182
2729,Agnostic,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,White,Bernie Sanders,Extremely liberal,22,2.11760137873311
2730,Nothing in particular,Spiritual but not religious,Never married,Bachelor’s degree,Bisexual,"$40,000-44,999",Joe Biden,Female,Hispanic,,Slightly liberal,26,2.39801705290455
2731,Protestant,None of the above,Never married,Bachelor’s degree,Heterosexual or straight,"$35,000-39,999",Donald Trump,Female,White,,Conservative,69,0.62304136166565
2732,Catholic,Spiritual but not religious,Divorced,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",,Male,White,Bernie Sanders,Moderate; middle of the road,66,0.64534412915622
2733,Protestant,Traditional,Divorced,Graduate degree,Heterosexual or straight,"$45,000-49,999",Joe Biden,Male,White,Joe Biden,Moderate; middle of the road,67,1.11984717625625
2734,Catholic,None of the above,Married,Graduate degree,,,Joe Biden,,,Joe Biden,Slightly liberal,47,0.381993492627653
2735,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",Donald Trump,Female,White,Donald Trump,Conservative,41,0.821902233557591
2736,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",Donald Trump,Female,White,Donald Trump,Conservative,41,1.14761452846236
2737,Catholic,Progressive,Married,Graduate degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,White,Joe Biden,Liberal,36,0.456174877116674
2738,Protestant,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Joe Biden,Male,White,Joe Biden,Liberal,55,1.05828611968223
2739,Protestant,None of the above,Never married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Donald Trump,Female,White,,Extremely conservative,62,0.302957002383509
2740,Nothing in particular,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",,Female,Multiracial,,Slightly liberal,36,0.662596403095861
2741,Protestant,Progressive,Never married,Graduate degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Female,White,,Moderate; middle of the road,24,1.84166066288954
2742,Catholic,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$125,000-149,999",,Male,Multiracial,,Conservative,32,0.67150684537497
2743,Protestant,Charismatic/Pentecostal,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$65,000-69,999",Joe Biden,Male,Black,Bernie Sanders,Slightly liberal,43,0.299301928781353
2744,Catholic,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,,,68,0.606375178411294
2745,Nothing in particular,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$65,000-69,999",Joe Biden,Female,White,Joe Biden,Slightly liberal,37,1.0212485138793
2746,Protestant,Traditional,Never married,Graduate degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,White,,Moderate; middle of the road,44,0.347398739848129
2747,Protestant,Progressive,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Donald Trump,Female,White,Donald Trump,Conservative,68,0.463478243208273
2748,Catholic,None of the above,Never married,Bachelor’s degree,Heterosexual or straight,"$60,000-64,999",Joe Biden,Female,Hispanic,,,74,0.334980275984147
2749,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",Joe Biden,Female,Hispanic,,Moderate; middle of the road,37,0.220050373906373
2750,Nothing in particular,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",Jo Jorgensen,Female,White,,Extremely liberal,26,1.54147542620313
2751,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",Donald Trump,Male,White,Donald Trump,Conservative,64,0.638833759958936
2752,Orthodox,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",Donald Trump,Male,Multiracial,,Moderate; middle of the road,26,2.27081182705378
2753,Something else,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$75,000-79,999",,Male,White,,,39,1.08695598168517
2754,Catholic,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$75,000-79,999",Donald Trump,Male,Asian/NHPI,Donald Trump,,71,0.410848295846152
2755,Nothing in particular,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$125,000-149,999",Joe Biden,Female,White,Joe Biden,Liberal,72,0.879803034463294
2756,Catholic,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,White,Joe Biden,Liberal,63,0.696012310887373
2757,Something else,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$110,000-124,999",Joe Biden,Female,White,,Moderate; middle of the road,30,0.743917934255888
2758,Nothing in particular,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Female,White,,Extremely liberal,40,0.8260400428238
2759,Agnostic,None of the above,Never married,Bachelor’s degree,Bisexual,"$20,000-24,999",Joe Biden,Female,Hispanic,Joe Biden,Liberal,38,0.439232849156993
2760,Protestant,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",Donald Trump,Female,White,Donald Trump,Slightly conservative,61,0.513593525169714
2761,Nothing in particular,Spiritual but not religious,Never married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,White,Elizabeth Warren,Liberal,28,0.668925269672178
2762,Protestant,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",Donald Trump,Female,White,Donald Trump,Conservative,76,0.34185099222194
2763,Protestant,Traditional,Widowed,High school credential,Heterosexual or straight,"Under $9,999",Joe Biden,Female,White,,Moderate; middle of the road,80,0.53013201996003
2764,Something else,None of the above,Married,High school credential,Heterosexual or straight,"$250,000 or more",Donald Trump,Female,White,Donald Trump,Extremely conservative,63,1.67407932444348
2765,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$175,000-249,999",Donald Trump,Male,White,Donald Trump,Extremely conservative,57,1.05764282378025
2766,Protestant,Traditional,Married,High school credential,Heterosexual or straight,"$75,000-79,999",Donald Trump,Male,Hispanic,,Conservative,42,2.31308726717242
2767,Atheist,Spiritual but not religious,Never married,Bachelor’s degree,Homosexual or gay (or lesbian),"$40,000-44,999",Joe Biden,Male,White,Elizabeth Warren,Liberal,47,0.493372952771736
